Date,Open,High,Low,Close,Volume,cnbc_data,fortune_data,reuters_data,wsj_data
20180131,2832.409912,2839.26001,2813.040039,2823.810059,4261280000,0.09107987,0.06845,0.071183849,-0.008100541
20180201,2816.449951,2835.959961,2812.699951,2821.97998,3938450000,0.080252178,-0.001109091,0.077168221,0.051785065
20180202,2808.919922,2808.919922,2759.969971,2762.129883,4301130000,0.09790942,-0.025529268,0.053336687,-0.012406918
20180205,2741.060059,2763.389893,2638.169922,2648.939941,5283460000,0.077644213,0.047530303,0.040460625,0.06351619
20180206,2614.780029,2701.040039,2593.070068,2695.139893,5891660000,0.060828229,-0.067043636,0.049509342,0.005496667
20180207,2690.949951,2727.669922,2681.330078,2681.659912,4626570000,0.070519887,0.052924444,0.062340566,-0.010790751
20180208,2685.01001,2685.27002,2580.560059,2581,5305440000,0.054439768,-0.02169375,0.090625694,-0.009989881
20180209,2601.780029,2638.669922,2532.689941,2619.550049,5680070000,0.020085062,-0.0032825,0.045659523,-0.050521875
20180212,2636.75,2672.610107,2622.449951,2656,4055790000,0.05222487,-0.046244828,0.064298243,-0.034490741
20180213,2646.27002,2668.840088,2637.080078,2662.939941,3472870000,0.054193699,-0.0148575,0.071334283,-0.053092908
20180214,2651.209961,2702.100098,2648.870117,2698.629883,4003740000,0.057835904,0.023896078,0.074677118,0.031119178
20180215,2713.459961,2731.51001,2689.820068,2731.199951,3684910000,0.064076029,0.09952037,0.063729662,0.0155875
20180216,2727.139893,2754.419922,2725.110107,2732.219971,3637460000,0.053024963,-0.039884848,0.054663267,0.007175
20180220,2722.98999,2737.600098,2706.76001,2716.26001,3627610000,0.069223117,-0.04545814,0.056991947,0.003166972
20180221,2720.530029,2747.75,2701.290039,2701.330078,3779400000,0.068396974,-0.036698113,0.058922703,-0.006622901
20180222,2710.419922,2731.26001,2697.77002,2703.959961,3701270000,0.060440189,0.010463462,0.084175441,0.003268627
20180223,2715.800049,2747.76001,2713.73999,2747.300049,3189190000,0.05048169,0.019220408,0.054966381,-0.033897143
20180226,2757.370117,2780.639893,2753.780029,2779.600098,3424650000,0.06400781,-0.005013333,0.056790725,0.057954878
20180227,2780.449951,2789.149902,2744.219971,2744.280029,3745080000,0.077632534,0.020751667,0.082090167,0.025434532
20180228,2753.780029,2761.52002,2713.540039,2713.830078,4230660000,0.063963976,0.081618182,0.07162066,-0.004011728
20180301,2715.219971,2730.889893,2659.649902,2677.669922,4503970000,0.086059454,-0.011529545,0.063434573,0.024845695
